experiment,method,N,seed_level_variance
rendered_visual_simulator,calibrated,1,0.00011202929814656468
rendered_visual_simulator,calibrated,2,0.000344363441879604
rendered_visual_simulator,calibrated,4,0.0003254182843454891
rendered_visual_simulator,calibrated,8,7.594961199849083e-05
rendered_visual_simulator,calibrated,16,1.9883612258241615e-06
rendered_visual_simulator,calibrated,32,8.095668444348944e-10
rendered_visual_simulator,calibrated,64,1.1397300062311054e-18
rendered_visual_simulator,calibrated,128,0.0
rendered_visual_simulator,grounded_combined,1,0.00011202929814656468
rendered_visual_simulator,grounded_combined,2,0.0004697461990970391
rendered_visual_simulator,grounded_combined,4,0.0006596182745305059
rendered_visual_simulator,grounded_combined,8,0.00023440304785967016
rendered_visual_simulator,grounded_combined,16,8.403064968683996e-06
rendered_visual_simulator,grounded_combined,32,3.732906136810781e-09
rendered_visual_simulator,grounded_combined,64,6.6746102877623585e-18
rendered_visual_simulator,grounded_combined,128,0.0
rendered_visual_simulator,oracle,1,0.00011202929814656468
rendered_visual_simulator,oracle,2,0.0003333245162716341
rendered_visual_simulator,oracle,4,0.0003071569448442027
rendered_visual_simulator,oracle,8,7.024205138493798e-05
rendered_visual_simulator,oracle,16,1.722193553432735e-06
rendered_visual_simulator,oracle,32,6.385547993079064e-10
rendered_visual_simulator,oracle,64,9.60439885788979e-19
rendered_visual_simulator,oracle,128,0.0
rendered_visual_simulator,random,1,0.00011202929814656468
rendered_visual_simulator,random,2,0.00025847969958650487
rendered_visual_simulator,random,4,0.00032958583568284565
rendered_visual_simulator,random,8,0.0002864959174491306
rendered_visual_simulator,random,16,0.00029564930435144643
rendered_visual_simulator,random,32,0.0006637374788466306
rendered_visual_simulator,random,64,0.00425576355565828
rendered_visual_simulator,random,128,0.03595364583333334
rendered_visual_simulator,raw_semantic,1,0.00011202929814656468
rendered_visual_simulator,raw_semantic,2,9.665958100150465e-05
rendered_visual_simulator,raw_semantic,4,6.944221041341329e-05
rendered_visual_simulator,raw_semantic,8,0.00013535987028723742
rendered_visual_simulator,raw_semantic,16,0.00024854874069355843
rendered_visual_simulator,raw_semantic,32,0.00028148574832992195
rendered_visual_simulator,raw_semantic,64,0.0005761641464019518
rendered_visual_simulator,raw_semantic,128,0.00182864583333333
rendered_visual_simulator,semantic_plus_physical,1,0.00011202929814656468
rendered_visual_simulator,semantic_plus_physical,2,0.0004868287777120692
rendered_visual_simulator,semantic_plus_physical,4,0.0007246028638824262
rendered_visual_simulator,semantic_plus_physical,8,0.0003268922869333116
rendered_visual_simulator,semantic_plus_physical,16,4.9516963533299756e-05
rendered_visual_simulator,semantic_plus_physical,32,1.6577456983104536e-05
rendered_visual_simulator,semantic_plus_physical,64,4.035878786499678e-06
rendered_visual_simulator,semantic_plus_physical,128,0.0
rendered_visual_simulator,torch_calibrated,1,0.00011202929814656468
rendered_visual_simulator,torch_calibrated,2,0.00034155889442480446
rendered_visual_simulator,torch_calibrated,4,0.00032313451864070253
rendered_visual_simulator,torch_calibrated,8,7.540490117968494e-05
rendered_visual_simulator,torch_calibrated,16,1.9729975299064322e-06
rendered_visual_simulator,torch_calibrated,32,7.932941090784972e-10
rendered_visual_simulator,torch_calibrated,64,1.1184044979394956e-18
rendered_visual_simulator,torch_calibrated,128,0.0
rendered_visual_simulator,torch_semantic,1,0.00011202929814656468
rendered_visual_simulator,torch_semantic,2,0.00020761785124841442
rendered_visual_simulator,torch_semantic,4,5.5708929610960607e-05
rendered_visual_simulator,torch_semantic,8,0.00014639495306418833
rendered_visual_simulator,torch_semantic,16,0.0002781550945676832
rendered_visual_simulator,torch_semantic,32,0.00028402808313489635
rendered_visual_simulator,torch_semantic,64,0.0001027898966799376
rendered_visual_simulator,torch_semantic,128,2.9040075231481638e-05
